Car,Step
F,-4
E,-1
B,3
X,-3
G,-2
B,-2
E,4
B,2
X,1
F,4
X,-1
A,-3
B,-3
G,-1
D,-4
B,3
G,3
X,3
A,3
B,-3
D,1
F,-4
D,-1
B,3
X,-3
B,-2
G,-2
H,-4
E,-4
B,2
G,2
C,3
X,4
