Car,Step
AB,1
AD,1
AP,-1
N,-1
M,-1
AG,1
N,1
AP,1
AD,-1
S,1
E,1
AG,-1
S,-1
N,-1
M,1
K,-1
X,-1
E,-1
AP,-1
AO,1
S,1
N,1
AD,1
S,-1
C,1
K,1
H,1
G,-1
K,-1
M,1
F,1
B,-1
O,-1
AF,-1
H,1
M,-1
AD,-1
AO,-1
B,1
G,-1
H,-1
AF,1
L,-1
P,1
AO,1
H,1
G,3
E,1
X,1
AG,1
E,-1
M,-1
O,1
C,-1
D,1
AB,-1
AG,-1
Q,-1
AC,-2
R,-1
E,1
R,1
AO,-1
AE,-1
E,-1
M,1
AG,1
AO,1
AA,-1
P,-1
AE,1
L,1
E,1
AE,-1
N,1
AC,1
F,1
X,-2
F,-1
B,-1
E,-1
D,-1
H,-1
L,-1
R,-1
S,1
P,1
J,-3
L,1
R,1
AA,-1
P,1
O,-1
N,-1
A,-1
R,-1
X,2
S,-1
E,1
S,1
A,1
AO,-1
B,1
AE,1
E,-1
P,-1
AG,-1
P,1
O,1
L,-1
M,-1
D,1
AG,1
AA,2
A,1
L,1
A,-2
AO,1
D,-1
AG,-1
L,-1
AC,1
D,1
J,1
Q,1
B,-1
T,-2
Q,1
J,-2
AQ,-1
C,2
G,-1
D,-1
E,1
O,-1
X,3
T,2
E,-1
J,1
X,2
AB,1
X,3
