Car,Step
Q,1
K,1
H,-1
M,1
W,-1
I,-1
J,1
Q,-1
U,1
H,3
U,-1
Q,1
U,1
G,1
Q,-1
I,1
Q,1
N,-1
C,-1
V,1
O,-1
W,1
C,1
V,-2
I,-1
G,-1
M,-2
Q,-1
T,-1
O,-1
P,-1
G,1
W,-1
C,-1
X,1
C,1
I,1
X,-1
W,1
Z,-1
H,1
C,-1
P,1
K,1
L,-1
U,-1
T,1
J,-1
X,1
Z,1
O,1
X,-1
Q,1
U,2
N,-1
W,-1
Y,-1
U,-2
Q,-1
V,-1
U,1
X,3
Y,1
O,-1
M,1
O,1
S,1
O,-1
W,1
Q,-3
R,-1
K,1
W,-1
Y,-1
T,-1
K,2
W,-1
S,-1
U,1
Q,1
O,-1
Y,1
Q,-1
Z,-1
Y,1
R,1
T,-1
M,-1
T,1
W,1
U,-1
X,3
V,3
X,1
