Car,Step
A,1
K,-1
B,1
E,1
A,-1
M,1
G,-1
K,1
S,-1
B,-1
M,1
S,1
B,1
M,-2
I,-1
K,-1
M,2
K,1
S,-3
B,-1
A,1
S,2
K,-1
A,-1
I,-1
M,-1
A,1
S,1
G,1
M,1
G,-1
K,1
S,-3
T,-1
A,-1
M,-2
I,1
T,1
B,1
T,-1
A,1
U,-1
A,-2
I,1
B,1
U,1
F,-1
G,-1
M,2
T,1
G,1
B,-1
E,1
S,2
E,-1
T,-1
S,-2
M,-1
B,1
J,-1
M,1
U,-1
M,-2
O,-1
B,-1
U,1
G,1
T,1
I,-1
R,1
S,-1
K,-1
S,-1
K,1
O,1
M,2
I,1
B,1
R,-1
O,-1
S,3
R,1
M,-1
S,-1
R,-1
B,-1
M,1
E,-1
O,1
G,-1
M,-1
E,1
T,-1
M,-1
B,1
O,-1
B,-1
I,-1
T,1
R,1
M,2
R,-1
M,-1
I,1
R,1
S,2
M,1
R,-1
T,-1
M,-1
B,1
K,-1
M,1
K,1
G,1
O,1
U,-1
J,1
K,-1
E,2
U,1
K,1
M,-1
K,-1
E,-1
M,1
B,-1
U,-1
E,-1
F,1
P,1
G,-1
E,-1
H,1
A,2
B,-1
H,-1
B,1
H,1
B,-1
M,-1
A,-1
B,1
K,1
A,-1
K,-1
F,-1
H,-1
J,-1
E,1
M,1
K,1
S,-1
H,1
S,1
K,-1
M,-1
J,1
E,-1
G,-2
K,1
D,1
M,1
K,-1
D,1
C,-2
K,1
H,-2
K,1
D,1
C,1
H,-1
D,1
S,-1
C,-1
G,2
F,1
H,1
C,1
E,1
S,-1
B,1
G,1
C,-1
H,-1
G,1
C,1
F,-1
S,-4
E,2
B,-1
E,1
B,1
D,1
F,1
A,1
D,-1
B,-2
I,-2
X,-1
D,1
X,1
S,1
D,-1
X,-1
N,-4
S,-1
D,1
L,1
Q,-1
N,1
D,-1
S,1
R,-1
S,-1
O,1
D,1
O,-1
S,1
R,1
N,-1
R,-1
T,-1
Q,-1
D,1
X,1
D,-2
Q,-1
L,-1
D,2
L,1
K,-2
S,-1
K,1
L,-1
S,1
K,-1
L,1
P,-2
S,-1
K,1
S,1
Q,2
U,1
A,1
I,1
Q,-1
U,-1
A,-1
S,-1
K,-1
P,2
Q,1
B,1
K,2
A,-1
I,1
A,1
D,-2
T,1
I,-1
R,1
Q,-1
R,-1
D,1
R,1
B,-1
R,-1
S,1
O,1
D,-1
J,1
I,-1
X,2
N,2
S,-1
I,1
B,1
Q,1
B,-1
S,1
A,4
F,-1
N,-2
E,-1
I,-1
G,-1
Q,-2
G,1
Q,1
D,-2
A,-1
I,1
X,-1
I,-1
X,1
I,1
Q,1
N,-1
M,-2
B,1
N,2
B,-1
A,1
I,-1
M,1
Q,-1
N,-1
D,1
X,-3
N,1
A,-1
N,-1
M,1
J,-1
N,1
D,1
A,1
L,1
S,-1
Q,1
S,1
L,1
S,-1
N,-2
G,-1
Q,-1
X,1
I,1
H,2
D,1
I,-1
A,1
Q,-1
H,-1
D,-1
Q,2
A,-1
E,-2
L,-2
X,-1
L,2
D,1
G,-1
Q,-1
A,1
G,-1
H,1
D,-1
G,2
L,-1
G,-2
L,-1
D,1
J,1
A,-1
J,-1
S,1
J,1
X,6
I,1
H,-2
X,1
