Car,Step
A,1
K,-1
E,1
M,1
B,2
S,-1
T,-1
U,-1
P,1
A,-2
F,-1
H,1
G,-1
K,1
S,-2
B,-1
H,-1
E,-1
G,-2
D,2
K,1
M,1
D,2
G,3
C,-1
H,-1
H,-1
G,1
D,-2
F,1
A,5
F,-1
B,-1
E,2
I,-2
X,-1
N,-1
E,1
N,-1
L,1
Q,-2
R,-1
O,1
L,2
N,1
E,-2
J,-1
N,1
X,1
Q,1
I,2
B,2
L,1
J,2
F,2
C,-5
A,-5
K,-1
P,-2
A,1
F,-1
X,1
A,-1
D,-1
P,1
S,-2
X,5
