Car,Step
F,-4
E,-1
B,3
X,-3
G,-2
B,-2
E,3
H,-4
B,2
X,1
F,3
A,-3
G,-1
D,-1
C,3
X,-1
B,-3
H,1
F,1
D,-3
G,1
B,1
A,4
G,-1
B,-1
D,2
F,-1
H,-1
D,1
B,3
X,1
F,-3
X,-1
B,-3
D,-2
G,1
A,-1
E,-3
G,2
D,-1
B,3
X,4
