Car,Step
C,-1
A,-1
D,-1
G,-1
B,-1
H,-1
F,2
K,-1
L,-3
E,1
J,-1
K,1
E,1
X,-1
J,1
X,-1
E,-2
K,-2
I,-3
K,2
X,2
F,-1
H,3
A,-1
B,-1
G,-1
X,2
