Board,Algorithm,Board states,Time,Moves
1,bf,711,0.06556129455566406,21
2,bf,3210,0.3799560070037842,15
3,bf,8609,1.3722941875457764,33
3,bf,8625,2.2836668491363525,33
1,bf,711,0.16072392463684082,21
1,bf,711,0.12333989143371582,21
1,bf,711,0.0977180004119873,21
1,bf,711,0.08907103538513184,21
1,bf,711,0.08877301216125488,21
