Car,Step
AF,-1
P,1
AH,1
AB,-1
AJ,-1
AB,1
AQ,-1
AN,-1
AO,-1
AE,-1
P,1
AO,1
AM,1
AM,-1
L,1
AJ,1
AB,-1
AB,1
AN,1
K,1
AB,-1
AJ,-1
AF,1
AE,1
AH,-1
AC,-1
AC,1
P,-1
H,1
AP,-1
AC,-2
AC,1
G,-1
G,1
AK,-1
AF,-1
P,-1
AF,1
G,-1
N,-1
O,1
AO,1
H,-2
AQ,1
AA,-1
H,1
AL,-1
M,1
AR,-1
AO,-1
AP,1
AR,1
H,1
AQ,-1
AA,1
AQ,1
AM,-1
AK,1
AC,1
AA,-1
AM,1
D,1
AJ,1
M,-1
AL,1
AB,1
AH,1
P,1
N,1
AE,-1
AL,-1
AH,1
AH,-1
AH,1
A,-1
AJ,-1
AB,-1
AJ,1
AI,-1
AJ,-1
G,1
AA,-2
AC,-2
AA,1
AJ,1
K,-1
AQ,-1
AE,1
K,1
AJ,-1
B,-1
AD,1
B,1
AQ,-1
AK,-1
AI,-2
AD,-1
G,-1
K,-1
G,1
AC,-1
A,-5
AC,1
A,3
AJ,1
P,1
A,3
AE,-1
AR,-1
P,-1
AI,2
AI,1
AI,-1
AJ,-1
AA,1
AR,1
H,-1
AI,-1
L,-1
P,-1
H,1
AJ,1
G,-1
H,-1
AR,-1
J,1
AR,1
AA,1
H,1
AE,1
D,-1
J,1
AQ,2
D,1
AD,1
AQ,-2
H,-1
N,-1
AI,-1
AI,1
AA,-1
AR,-1
N,1
A,-1
A,1
A,-1
H,1
AJ,-1
G,1
AI,1
AC,-1
AC,1
AJ,1
P,1
P,-1
J,-1
AD,-1
AC,-1
AI,-2
AE,-1
P,2
AE,1
G,-1
B,-1
AR,1
AB,1
G,1
B,1
J,-1
L,1
B,-1
AK,1
L,-1
A,-2
AJ,-1
AQ,1
L,1
L,-1
AI,2
AQ,-1
B,-2
AD,1
AP,-1
AQ,1
A,-1
AA,-1
AQ,-1
AK,-1
AB,-1
AQ,2
L,1
I,-1
A,-1
A,1
AB,1
AD,-1
AO,1
AG,1
AB,-1
H,-1
AB,1
D,-1
P,-1
AE,-1
AK,1
B,1
AK,-1
AG,-1
AE,1
AB,-1
AE,-1
AI,-1
A,-2
AK,1
AQ,-2
AE,1
B,-1
AK,-1
AI,1
P,1
O,-1
J,-1
AO,1
AB,1
AF,-1
J,1
J,-1
J,1
K,1
P,-1
B,1
A,2
AD,1
AN,-1
P,1
A,-2
AI,-1
AR,-1
AN,1
AF,1
A,1
J,-1
B,-1
H,3
AD,-1
G,-1
AD,1
AF,-1
K,-1
AQ,1
F,1
AB,-1
AF,1
B,1
P,-1
AQ,-1
E,1
AC,1
AI,-1
AA,2
Q,-1
O,1
L,-1
H,-4
H,2
P,-1
O,-1
AQ,1
P,1
I,1
AQ,-1
AQ,1
AI,1
AR,1
J,1
I,-1
J,-1
AR,-1
AQ,-1
L,1
AO,1
O,1
AA,-1
A,-1
B,-1
A,1
J,1
A,-1
F,1
AA,-1
AQ,1
AD,-1
AA,2
H,1
L,-1
AC,1
AP,1
AA,-2
AP,-1
J,3
Q,1
J,-3
AI,2
AC,-2
AI,-3
AA,1
C,1
A,-1
J,3
AB,1
F,2
AQ,-1
L,1
A,1
AO,-1
AA,-1
O,-1
B,1
L,-1
O,1
G,1
A,-1
AQ,1
L,1
O,-1
AD,1
AR,1
AK,1
AF,-1
AN,-1
AN,1
G,-1
AE,1
W,2
L,-1
AD,-1
B,-1
S,1
AK,-1
L,1
W,1
AE,-1
B,1
AN,-1
E,1
K,1
N,-1
E,-1
M,1
E,1
AN,1
AN,-1
B,-1
AA,1
M,-1
AN,1
H,1
B,1
AO,-2
AP,1
A,1
Y,-1
R,-2
M,1
H,-1
M,-2
AQ,-1
AP,-1
AK,1
AO,1
T,-2
K,-1
C,-1
C,1
C,-1
U,1
T,2
K,1
AN,-1
P,-1
AN,1
T,-2
H,1
Q,1
AF,1
K,-1
C,1
Q,-1
A,1
AE,-1
X,2
AE,1
C,-1
AK,-1
X,1
B,-1
T,2
H,-1
C,1
N,1
P,1
AQ,1
T,-2
C,-1
K,1
C,1
A,-1
AK,1
AK,-1
T,1
N,-1
C,-1
C,1
N,1
C,-1
AA,-1
Q,1
AK,1
AA,-1
AO,1
AB,-1
AE,-1
AB,1
X,1
G,1
A,1
AE,1
C,2
N,1
AQ,-1
H,1
AK,-1
H,-1
AK,1
C,-1
A,-1
AQ,1
H,1
Q,-1
AE,-1
U,1
B,1
U,2
A,2
A,-1
X,2
G,-1
H,-1
U,-1
R,-1
AA,2
Y,1
AQ,-1
C,-1
T,-1
C,1
S,1
P,-1
K,-1
B,-1
H,1
H,-1
H,1
Y,-1
X,1
Q,1
B,1
Y,1
AO,-2
L,-1
AQ,2
S,1
F,1
AO,1
Y,-1
X,-1
J,-1
C,-1
B,-1
O,1
AQ,-1
AO,-1
P,1
O,-1
Y,1
Q,-2
N,-1
Y,-1
Y,1
U,1
J,1
AK,-1
U,-1
AK,1
E,1
O,1
B,1
AP,1
AQ,-1
AQ,1
Y,-1
AJ,1
E,1
Y,1
J,-1
R,1
P,-1
N,1
U,1
Q,1
S,-1
AQ,-1
C,1
P,1
E,-1
X,1
AJ,-1
J,1
AK,-1
B,-1
C,-1
Y,-1
AP,-1
AP,1
F,-2
AP,-1
J,-1
AK,1
X,1
