Car,Step
E,1
T,-5
U,-1
T,-1
Q,-1
J,-1
T,1
J,1
T,-1
K,-2
K,2
T,1
J,-2
T,-1
J,1
U,1
U,-1
T,1
A,2
K,-3
A,-2
A,2
T,-1
T,1
T,-2
Q,1
J,-1
J,2
Q,-1
T,2
U,1
U,-1
Q,1
S,-1
J,-1
J,1
K,1
T,4
K,-2
U,-1
J,-2
J,1
K,3
U,1
U,1
T,1
K,-4
J,-1
K,1
E,2
E,-2
T,-2
S,-1
J,2
T,-2
S,-2
U,-1
T,1
U,1
T,-1
K,-1
K,1
T,-2
A,-1
A,-1
A,2
U,-1
T,2
Q,-2
S,2
K,2
U,1
T,2
J,-1
K,-2
A,-2
K,1
J,1
L,1
E,-1
U,-1
J,-1
K,-1
K,2
L,-1
E,1
J,1
U,1
E,-1
K,-2
Q,2
K,1
E,1
E,-1
K,1
T,1
J,-1
G,-2
K,-2
S,-2
J,1
T,-1
J,-1
J,1
Q,-2
U,-1
U,-1
U,1
N,-1
G,1
S,2
L,1
L,-1
K,1
S,-1
T,-3
G,-1
T,2
N,1
T,-3
J,-1
L,1
T,1
L,-1
J,1
G,1
T,-1
L,1
L,-1
U,1
T,1
L,1
J,-1
S,1
K,1
G,1
E,1
A,2
K,-1
T,-2
J,1
S,-1
J,-1
J,1
J,-1
J,1
U,-2
J,-1
K,-2
S,-2
L,-1
J,-1
L,2
E,2
M,-2
F,-3
B,1
M,-1
L,-2
U,2
L,1
L,-1
F,2
A,1
T,1
U,-2
V,-2
L,1
V,2
E,3
E,-3
L,-1
A,-2
B,-1
V,-2
T,1
U,6
R,-3
E,1
N,2
A,1
B,1
V,-1
N,-1
N,-1
G,-2
N,2
V,-1
T,-2
F,-1
F,1
X,-1
B,1
V,1
A,1
N,-1
T,2
X,1
F,-1
V,-1
T,-2
V,-1
F,-1
F,1
F,-1
V,2
V,-3
X,-2
U,-4
V,1
H,1
V,-1
H,-1
A,-1
N,1
G,1
U,-2
F,1
T,2
B,-1
N,-1
B,1
U,3
H,1
T,-2
U,-3
H,-1
T,1
H,1
N,1
G,-1
A,-1
G,1
U,1
V,-1
C,1
N,-1
G,-2
C,-1
B,-1
B,1
V,1
N,1
V,-1
G,1
G,1
B,-1
U,-1
T,1
B,-1
F,2
G,-1
U,2
N,-1
N,1
C,1
T,-1
H,1
U,-2
N,-1
N,1
I,-1
F,-2
G,-1
C,-1
I,-3
P,-1
C,2
I,1
E,-1
B,1
V,1
O,1
C,-1
V,-1
H,-1
E,1
I,-1
U,1
N,-1
F,1
H,2
N,1
F,-1
B,-1
X,2
U,2
I,2
B,1
B,-1
C,-1
B,1
E,-1
I,1
X,-2
V,2
B,-1
N,-1
A,1
E,1
N,1
B,2
H,2
E,-1
O,-1
B,-2
W,-1
P,-1
B,1
C,1
E,1
N,-1
T,-1
F,-1
V,-1
I,-2
A,1
P,1
A,1
C,1
U,-3
N,1
E,-2
P,-1
W,-1
A,2
U,1
D,-1
U,1
D,1
A,-3
E,-1
E,2
W,2
O,1
D,-1
P,-1
H,-1
P,1
X,1
P,1
D,1
C,-2
U,-1
U,-1
X,1
U,2
H,-1
H,2
E,1
N,-2
O,-1
E,-3
E,3
G,1
P,-1
U,2
R,1
C,2
A,3
W,-2
A,-2
D,-1
A,-1
F,1
P,-2
X,1
