run,time (s),dictionary length,moves
0,0.2027747631072998,384,289
1,0.3585498332977295,384,289
2,0.5142238140106201,384,289
3,0.6700248718261719,384,289
4,0.8267557621002197,384,289
5,0.9835689067840576,384,289
6,1.1396217346191406,384,289
7,1.2957258224487305,384,289
8,1.4520556926727295,384,289
9,1.60882568359375,384,289
